whoami: cannot find name for user ID 1121069315
Total processes: 4
Matrix size: 100x100 | Time: 6 ms
Matrix size: 200x200 | Time: 41 ms
Matrix size: 300x300 | Time: 140 ms
Matrix size: 400x400 | Time: 342 ms
Matrix size: 500x500 | Time: 670 ms
Matrix size: 600x600 | Time: 1130 ms
Matrix size: 700x700 | Time: 1780 ms
Matrix size: 800x800 | Time: 2561 ms
Matrix size: 900x900 | Time: 3737 ms
Matrix size: 1000x1000 | Time: 5209 ms
Complete
